tconst,title,year,ordering,Actor,Character Played
tt5477608,Kahaani 2,2016,2,Arjun Rampal,"[""Sub-inspector Inderjeet Singh""]
"
tt5477608,Kahaani 2,2016,4,Kharaj Mukherjee,"[""Pranab Halder""]
"
tt5477608,Kahaani 2,2016,1,Vidya Balan,"[""Durga Rani Singh"""
tt5571734,Pink,2016,2,Amitabh Bachchan,"[""Deepak Sehgal""]
"
tt5571734,Pink,2016,1,Taapsee Pannu,"[""Minal Arora""]
"
tt5571734,Pink,2016,3,Kirti Kulhari,"[""Falak Ali""]
"
tt5571734,Pink,2016,4,Andrea Tariang,"[""Andrea""]
"
tt5690142,Mom,2017,1,Sridevi,"[""Devki Sabarwal""]
"
tt5690142,Mom,2017,3,Akshaye Khanna,"[""Mathew Francis""]
"
tt5690142,Mom,2017,4,Adnan Siddiqui,"[""Anand Sabarwal""]
"
tt5690142,Mom,2017,2,Sajal Ali,"[""Arya Sabarwal""]
"
tt5764096,Hindi Medium,2017,1,Irrfan Khan,"[""Raj Batra""]
"
tt5764096,Hindi Medium,2017,4,Deepak Dobriyal,"[""Shyam Prakash""]
"
tt5764096,Hindi Medium,2017,2,Saba Qamar,"[""Mita Batra""]
"
tt5764096,Hindi Medium,2017,3,Dishita Sehgal,"[""Pia Batra""]
"
tt5785170,Toilet: A Love Story,2017,2,Anupam Kher,"[""Dinanath Joshi (Kaka)""]
"
tt5785170,Toilet: A Love Story,2017,1,Akshay Kumar,"[""Keshav""]
"
tt5785170,Toilet: A Love Story,2017,4,Ayesha Raza,"[""Vidya""]
"
tt5785170,Toilet: A Love Story,2017,3,Bhumi Pednekar,"[""Jaya""]
"
tt5842616,Veere Di Wedding,2018,1,Kareena Kapoor,"[""Kalindi Puri""]
"
tt5842616,Veere Di Wedding,2018,2,Sonam Kapoor,"[""Avni Malhotra""]
"
tt5842616,Veere Di Wedding,2018,3,Swara Bhaskar,"[""Sakshi Soni""]
"
tt5842616,Veere Di Wedding,2018,4,Surya Sharma,"[""Arjun""]
"
tt5882970,Tubelight,2017,1,Salman Khan,"[""Laxman""]
"
tt5882970,Tubelight,2017,2,Sohail Khan,"[""Bharat""]
"
tt5882970,Tubelight,2017,3,Om Puri,"[""Banne Chacha""]
"
tt5882970,Tubelight,2017,4,Mohammed Zeeshan Ayyub,"[""Narayan""]
"
tt5935704,Padmaavat,2017,3,Shahid Kapoor,"[""Maharawal Ratan Singh""]
"
tt5935704,Padmaavat,2017,1,Deepika Padukone,"[""Padmavati""]
"
tt5935704,Padmaavat,2017,4,Aditi Rao Hydari,"[""Mehrunissa""]
"
tt5935704,Padmaavat,2017,2,Ranveer Singh,"[""Sultan Alauddin Khilji""]
"
tt5946128,Dear Zindagi,2016,2,Shah Rukh Khan,"[""Dr. Jehangir Khan""]
"
tt5946128,Dear Zindagi,2016,1,Alia Bhatt,"[""Kaira""]
"
tt5946128,Dear Zindagi,2016,3,Kunal Kapoor,"[""Raghuvendra""]
"
tt5946128,Dear Zindagi,2016,4,Priyanka Moodley,"[""Young Woman""]
"
tt5956100,Tiger Zinda Hai,2017,1,Salman Khan,"[""Tiger"""
tt5956100,Tiger Zinda Hai,2017,2,Katrina Kaif,"[""Zoya""]
"
tt5956100,Tiger Zinda Hai,2017,3,Angad Bedi,"[""Namit""]
"
tt5956100,Tiger Zinda Hai,2017,4,Anupriya Goenka,"[""Poorna""]
"
